Name,gp,min,fgp,ftp,3pm,reb,ass,stl,bl,TOs,ppg
Victor Wembanyama,70,33.4,.491,.820,2.1,12.0,4.4,1.8,4.3,4.1,25.4
Luka Doncic,72,37.0,.486,.772,3.7,9.1,9.3,1.4,0.5,4.0,33.1
Nikola Jokic,77,35.1,.590,.817,1.0,12.7,9.2,1.4,0.8,3.3,26.7
Shai Gilgeous-Alexander,74,34.8,.532,.875,1.4,5.6,6.8,2.0,0.9,2.3,32.0
Tyrese Haliburton,70,34.8,.479,.857,3.0,4.2,11.5,1.4,0.7,2.5,21.4
Joel Embiid,60,34.4,.530,.866,1.3,11.0,5.1,1.1,1.7,3.7,34.1
Anthony Davis,64,35.9,.556,.808,0.4,12.7,3.4,1.2,2.3,2.1,25.2
Donovan Mitchell,70,36.1,.466,.867,3.5,4.9,5.7,1.7,0.5,2.9,27.5
Jayson Tatum,76,36.0,.468,.840,3.1,8.2,4.8,1.0,0.6,2.6,27.5
Anthony Edwards,78,36.8,.459,.818,2.8,5.7,5.1,1.4,0.6,3.2,28.6
Trae Young,70,36.2,.434,.870,3.0,3.0,10.7,1.3,0.2,4.3,26.7
Chet Holmgren,72,31.1,.529,.794,1.7,8.4,2.6,0.7,2.4,1.7,17.5
Giannis Antetokounmpo,70,35.4,.595,.660,0.6,11.9,6.5,1.1,1.1,3.6,31.3
LaMelo Ball,66,34.3,.428,.868,3.3,6.5,8.2,1.7,0.3,3.6,22.7
Scottie Barnes,70,36.3,.473,.777,1.6,8.3,6.0,1.3,1.4,2.7,19.7
Domantas Sabonis,80,36.1,.595,.714,0.4,13.6,8.0,0.9,0.6,3.3,19.6
Stephen Curry,72,32.4,.456,.921,4.7,4.7,5.3,0.8,0.4,2.9,26.2
Karl-Anthony Towns,70,34.9,.506,.865,2.3,10.7,3.5,0.8,1.2,3.1,23.4
James Harden,72,34.7,.431,.877,2.6,5.3,8.9,1.1,0.7,2.7,17.4
LeBron James,65,35.2,.533,.752,2.1,7.4,8.0,1.2,0.6,3.4,26.0
De'Aaron Fox,72,36.2,.472,.744,2.6,4.6,5.8,1.9,0.4,2.7,26.6
Kevin Durant,66,36.5,.524,.859,2.2,6.5,5.0,0.9,1.2,3.2,26.7
Ja Morant,70,36.2,.478,.756,1.7,6.4,8.4,1.2,0.4,3.8,29.7
Damian Lillard,70,35.6,.431,.916,3.2,4.4,7.0,0.9,0.3,2.8,25.7
Jalen Brunson,76,35.8,.480,.846,2.7,3.7,6.7,0.9,0.2,2.4,28.4
Cade Cunningham,70,34.9,.455,.893,2.3,5.2,7.8,1.0,0.4,3.6,24.4
Desmond Bane,69,34.9,.467,.878,3.3,4.8,5.1,1.1,0.5,2.5,23.7
Devin Booker,70,36.6,.491,.883,2.4,4.6,6.5,0.9,0.4,2.7,28.6
Jaren Jackson Jr.,67,30.9,.452,.805,1.7,5.8,1.9,1.1,1.9,2.2,21.0
Paul George,67,33.1,.466,.895,3.1,5.3,3.8,1.5,0.5,2.3,22.2
Kyrie Irving,64,34.5,.496,.909,2.9,4.9,5.1,1.2,0.5,1.8,25.2
Kawhi Leonard,64,33.3,.523,.879,2.0,6.1,3.6,1.5,0.8,1.7,23.2
Paolo Banchero,76,35.9,.457,.737,1.7,7.1,5.3,0.9,0.8,3.1,24.6
Tyrese Maxey,72,36.6,.452,.866,2.9,3.6,5.9,1.0,0.4,1.6,24.9
Lauri Markkanen,70,34.1,.481,.896,3.2,8.3,2.0,0.9,0.5,1.5,23.8
Bam Adebayo,72,34.9,.528,.764,0.2,10.4,3.8,1.2,1.2,2.4,20.0
Myles Turner,74,28.1,.527,.775,1.6,7.2,1.3,0.5,2.0,1.5,17.6
Brook Lopez,72,29.7,.496,.808,1.8,5.4,1.5,0.5,2.3,1.1,13.0
Alperen Sengun,72,33.7,.536,.697,0.5,9.8,4.9,1.2,0.9,2.8,20.4
Jalen Green,79,34.0,.448,.819,3.1,5.0,3.7,0.8,0.5,2.5,24.7
Dejounte Murray,76,33.6,.460,.798,2.1,5.2,6.2,1.4,0.3,2.4,19.4
Rudy Gobert,74,33.2,.666,.644,0.0,12.8,1.3,0.7,2.0,1.6,14.0
Jamal Murray,69,32.3,.473,.846,2.5,4.1,6.5,1.0,0.5,2.2,21.0
Fred VanVleet,71,32.9,.409,.869,2.8,3.5,6.9,1.3,0.4,1.7,16.1
Julius Randle,69,35.8,.447,.762,2.1,9.8,4.8,0.7,0.6,3.2,23.3
Jalen Johnson,70,34.9,.511,.725,1.3,9.0,3.7,1.2,0.9,1.8,16.4
Nikola Vucevic,78,34.1,.490,.820,1.3,10.7,3.3,0.7,0.8,1.6,17.9
Nic Claxton,72,30.9,.646,.551,0.0,10.1,2.1,0.7,2.1,1.3,12.5
Jalen Williams,72,33.2,.537,.817,1.5,4.3,4.6,1.3,0.8,1.8,19.3
Derrick White,75,31.3,.457,.891,2.4,4.0,4.9,0.9,0.9,1.5,14.3
Jaylen Brown,74,34.0,.495,.721,2.2,5.8,3.5,1.2,0.5,2.5,23.8
D'Angelo Russell,75,33.4,.455,.828,3.0,3.2,6.5,0.9,0.3,2.2,18.3
Mikal Bridges,82,35.1,.468,.846,2.1,4.4,3.1,2.1,0.8,1.5,18.1
Miles Bridges,74,36.8,.471,.813,2.2,7.2,3.5,0.9,0.6,2.0,20.8
Jrue Holiday,72,33.1,.483,.833,2.1,5.3,5.6,1.0,0.7,2.1,14.4
CJ McCollum,70,31.4,.454,.795,3.2,4.1,4.6,0.9,0.5,1.8,19.2
Donte DiVincenzo,75,30.2,.439,.771,3.3,4.1,3.0,1.4,0.4,1.5,15.0
Immanuel Quickley,72,35.1,.434,.851,3.0,4.6,5.6,0.9,0.2,1.8,20.0
Brandon Miller,73,34.0,.451,.835,3.2,4.5,2.5,0.9,0.6,1.9,21.2
Evan Mobley,68,32.0,.563,.698,0.4,9.1,3.0,0.9,1.5,1.8,15.7
Darius Garland,71,34.1,.452,.847,2.4,2.7,7.1,1.3,0.1,3.1,19.3
Kyle Kuzma,71,33.4,.462,.767,2.2,6.9,4.3,0.5,0.7,2.8,22.4
Anfernee Simons,67,35.2,.451,.913,3.6,3.6,5.5,0.5,0.1,2.7,25.8
Klay Thompson,73,33.1,.433,.925,3.9,3.7,2.5,0.7,0.5,1.7,20.2
Buddy Hield,82,30.1,.438,.867,3.2,4.0,3.1,1.0,0.5,1.5,14.8
Daniel Gafford,76,25.4,.723,.677,0.0,7.6,1.5,0.8,2.0,1.1,11.4
Walker Kessler,70,24.5,.675,.563,0.0,8.3,1.0,0.5,2.5,1.0,8.9
Zion Williamson,64,33.7,.576,.703,0.3,6.3,5.3,1.2,0.7,3.0,26.6
Coby White,79,36.7,.447,.842,2.7,4.5,5.1,0.7,0.2,2.1,21.1
Zach LaVine,65,35.6,.479,.849,2.7,4.6,4.4,0.8,0.3,2.5,24.4
Bogdan Bogdanovic,74,31.8,.431,.910,3.1,3.6,3.3,1.2,0.3,1.4,17.4
Jusuf Nurkic,69,27.9,.515,.651,0.4,10.9,3.8,1.1,1.0,2.4,12.0
Michael Porter Jr.,71,32.3,.483,.826,3.1,6.9,1.5,0.6,0.6,1.2,19.0
Franz Wagner,73,33.7,.481,.848,1.4,5.4,3.8,1.1,0.6,2.0,20.2
Pascal Siakam,78,34.3,.525,.741,1.1,7.3,4.6,0.8,0.4,1.9,22.4
Devin Vassell,70,33.5,.469,.800,2.5,3.9,4.1,1.1,0.4,1.6,19.6
Bradley Beal,65,33.6,.505,.822,1.8,4.3,5.2,1.0,0.5,2.6,19.5
P.J. Washington,74,33.3,.437,.687,2.0,6.1,2.2,1.1,0.9,1.5,14.2
Amen Thompson,70,28.1,.529,.705,0.4,8.3,3.3,1.6,0.8,1.8,12.1
OG Anunoby,66,33.6,.486,.765,2.0,4.2,2.1,1.4,0.7,1.6,14.6
Jimmy Butler,65,33.5,.505,.858,0.8,5.4,5.0,1.4,0.3,1.7,21.0
Tyler Herro,70,33.8,.441,.878,3.1,5.3,4.3,0.7,0.1,2.3,20.7
Keegan Murray,78,33.2,.454,.812,2.5,5.3,1.6,1.0,0.7,0.8,14.6
Jarrett Allen,73,32.5,.645,.730,0.0,10.1,1.9,0.8,1.2,1.5,15.0
Brandon Ingram,65,32.8,.487,.818,1.3,5.1,5.6,0.7,0.6,2.6,21.3
Donovan Clingan,70,22.8,.558,.651,0.2,5.7,1.9,0.6,2.2,1.4,10.0
Isaiah Hartenstein,76,27.4,.622,.700,0.1,8.9,2.6,1.2,1.2,1.3,8.4
Austin Reaves,76,33.9,.489,.854,1.9,4.4,5.5,0.8,0.3,2.2,16.4
Grayson Allen,74,34.1,.484,.885,2.8,4.0,2.9,1.0,0.5,1.2,13.6
Naz Reid,78,25.7,.486,.726,2.1,5.8,1.4,0.8,1.0,1.5,14.5
Draymond Green,68,27.5,.508,.716,0.8,7.0,6.1,1.0,0.8,2.5,8.3
Cam Thomas,71,34.0,.453,.855,2.6,3.5,3.1,0.7,0.3,2.0,26.9
Terry Rozier,70,30.8,.437,.852,2.3,3.7,4.9,1.0,0.3,1.6,18.2
Josh Giddey,75,28.9,.472,.781,1.1,7.3,5.6,0.7,0.5,2.5,14.2
Kristaps Porzingis,58,30.3,.506,.855,1.9,7.5,2.2,0.8,1.8,1.7,20.8
Jabari Smith Jr.,77,32.7,.438,.805,1.8,8.1,1.5,0.7,0.9,1.3,13.9
Reed Sheppard,70,28.6,.459,.852,2.1,3.2,4.6,1.1,0.5,1.8,14.8
DeMar DeRozan,77,33.6,.495,.866,0.7,4.2,4.7,1.0,0.4,1.8,23.1
Jakob Poeltl,68,27.4,.648,.558,0.0,9.0,2.7,0.7,1.5,1.6,11.8
Josh Hart,77,34.1,.455,.777,1.0,8.4,4.1,1.0,0.6,1.6,10.1
Khris Middleton,62,29.0,.478,.856,1.9,5.0,5.6,1.0,0.3,2.5,16.6
Malcolm Brogdon,65,31.9,.458,.850,2.2,4.8,5.3,0.8,0.3,1.8,18.0
Russell Westbrook,73,28.3,.448,.673,0.9,6.1,6.1,1.2,0.4,2.9,14.5
Jonas Valanciunas,81,27.2,.559,.791,0.5,10.2,2.4,0.5,0.9,1.6,14.3
Marcus Smart,63,30.4,.423,.768,1.9,3.0,5.2,1.7,0.3,2.6,12.5
Ausar Thompson,73,29.5,.498,.615,0.4,7.5,2.2,1.3,1.1,1.6,10.6
Stephon Castle,70,28.9,.459,.757,1.1,3.1,3.7,1.4,0.8,2.1,14.9
Tobias Harris,73,32.9,.489,.873,1.3,6.2,2.9,0.9,0.6,1.3,16.2
Mark Williams,66,28.9,.646,.714,0.0,10.5,1.2,0.9,1.2,1.0,13.7
Trayce Jackson-Davis,72,24.7,.720,.569,0.0,7.4,1.8,0.6,1.7,1.1,12.0
Jerami Grant,68,33.5,.454,.816,2.1,3.7,2.6,0.8,0.7,2.0,20.4
Alex Caruso,70,26.0,.462,.774,1.6,3.4,3.2,1.5,0.8,1.3,8.5
Jalen Duren,72,30.7,.627,.744,0.0,11.9,2.2,0.6,0.9,2.1,13.6
Jaime Jaquez Jr.,74,32.0,.493,.824,1.3,4.3,3.0,1.2,0.6,1.7,15.8
Caris LeVert,72,29.3,.425,.756,1.6,4.0,4.8,1.1,0.5,1.7,13.9
De'Anthony Melton,68,26.6,.399,.810,2.0,3.9,2.8,1.6,0.5,1.2,10.7
Herbert Jones,74,30.3,.491,.845,1.3,3.7,2.5,1.4,0.8,1.2,10.7
Jalen Suggs,70,27.4,.453,.752,1.9,3.2,3.0,1.4,0.6,1.9,12.5
Mike Conley,74,27.2,.450,.881,2.1,2.7,5.6,1.1,0.2,1.3,11.0
Clint Capela,74,25.4,.590,.611,0.0,10.5,1.1,0.6,1.4,0.9,11.2
Jaden Ivey,76,31.8,.425,.749,1.7,3.8,4.6,0.8,0.5,2.9,16.8
Jordan Poole,78,27.8,.415,.881,2.2,2.5,4.1,1.0,0.3,2.3,16.3
John Collins,70,28.2,.529,.794,1.2,8.3,1.2,0.6,0.9,1.4,14.9
Scoot Henderson,70,31.8,.404,.826,1.7,3.5,6.1,0.9,0.2,3.8,17.4
Deni Avdija,75,29.7,.500,.738,1.1,7.1,3.7,0.8,0.5,2.1,14.1
Cameron Johnson,68,30.5,.451,.807,2.7,4.8,2.4,1.0,0.3,1.0,15.0
Zach Edey,70,25.9,.560,.710,0.0,6.7,1.1,0.7,1.6,1.6,14.4
Kelly Oubre Jr.,70,30.8,.440,.751,1.6,5.1,1.5,1.2,0.7,1.3,15.9
Trey Murphy III,70,28.5,.451,.839,2.7,4.3,1.8,0.9,0.5,0.6,13.8
Collin Sexton,74,27.3,.488,.857,1.6,2.7,5.0,0.8,0.2,2.2,19.1
Alex Sarr,70,26.7,.455,.746,0.9,6.4,1.1,0.7,1.4,1.7,11.6
Taylor Hendricks,68,28.1,.451,.794,1.8,6.1,1.1,0.9,1.0,0.9,9.7
RJ Barrett,69,34.2,.481,.718,1.7,5.8,3.4,0.6,0.4,2.3,21.4
Malik Monk,73,25.1,.447,.837,2.0,2.9,4.6,0.6,0.5,2.0,14.6
Shaedon Sharpe,69,34.4,.412,.820,1.9,5.1,2.9,0.9,0.4,2.3,16.4
Brandin Podziemski,75,29.3,.466,.656,1.4,6.4,4.1,0.9,0.4,1.3,10.5
Jonathan Kuminga,74,29.6,.528,.733,0.9,5.3,2.4,0.8,0.8,1.9,17.3
Jeremy Sochan,71,31.9,.442,.750,0.9,6.8,3.5,0.9,0.6,2.1,12.8
Tyus Jones,70,27.3,.475,.804,1.5,2.6,6.6,1.0,0.2,0.9,11.3
Max Strus,74,31.1,.419,.812,2.5,4.4,3.4,0.8,0.3,1.4,12.2
Dereck Lively II,70,25.8,.724,.554,0.0,7.5,1.2,0.7,1.5,1.0,9.4
Dennis Schroder,78,31.3,.431,.841,1.6,3.0,5.8,0.8,0.2,1.9,14.0
Al Horford,67,25.9,.507,.853,1.6,6.1,2.5,0.6,0.9,0.7,8.4
Bobby Portis,79,26.0,.503,.786,1.4,8.2,1.3,0.8,0.4,1.2,14.4
Chris Paul,64,25.7,.443,.828,1.3,3.7,6.7,1.2,0.1,1.3,9.2
Keldon Johnson,70,29.8,.454,.788,1.9,5.5,2.8,0.7,0.4,1.5,16.1
Ayo Dosunmu,77,31.3,.501,.796,1.5,3.1,3.4,0.9,0.6,1.5,12.2
Patrick Williams,66,30.6,.446,.795,1.5,4.3,1.7,1.0,0.9,1.5,11.2
Deandre Ayton,64,28.8,.580,.789,0.0,9.8,1.5,0.8,0.7,1.6,15.5
Royce O'Neale,78,26.7,.400,.702,1.9,4.8,2.9,0.8,0.6,1.0,7.9
Kentavious Caldwell-Pope,76,31.4,.456,.877,1.7,2.6,2.4,1.3,0.5,1.0,10.5
Gary Trent Jr.,70,29.5,.426,.810,2.6,2.6,1.7,1.2,0.3,0.7,14.8
Aaron Gordon,74,31.2,.552,.655,0.7,6.4,3.3,0.8,0.6,1.5,14.4
Vince Williams Jr.,66,26.6,.439,.803,1.4,5.3,3.2,0.9,0.6,1.7,9.5
Scotty Pippen Jr.,62,21.3,.490,.734,1.2,2.7,3.9,1.5,0.4,2.2,10.9
Kel'el Ware,70,22.1,.571,.724,0.5,5.2,0.9,0.8,1.3,1.1,11.7
Kelly Olynyk,75,23.0,.545,.833,0.8,5.3,4.3,0.9,0.4,2.0,10.0
Onyeka Okongwu,69,25.8,.623,.780,0.3,7.2,1.3,0.6,1.2,0.9,10.4
Ivica Zubac,71,26.7,.646,.714,0.0,9.3,1.3,0.3,1.2,1.2,11.4
Aaron Nesmith,73,27.4,.484,.791,1.9,3.8,1.5,0.9,0.6,0.9,11.9
Jordan Clarkson,68,30.9,.416,.873,1.8,3.5,4.9,0.6,0.1,2.7,17.6
Duncan Robinson,70,29.3,.438,.890,2.9,2.7,2.7,0.7,0.2,1.4,13.2
Bilal Coulibaly,70,30.4,.445,.708,1.2,4.5,2.1,1.0,0.8,1.5,9.6
Grant Williams,77,30.4,.458,.774,1.8,4.7,2.3,0.6,0.6,1.4,10.8
Matas Buzelis,70,28.3,.459,.827,0.4,4.8,2.7,1.1,0.7,1.6,12.0
Kevin Porter Jr.,62,23.2,.420,.677,1.8,3.3,4.4,0.9,0.3,2.3,11.9
Bennedict Mathurin,70,30.3,.445,.824,1.5,4.6,2.2,0.7,0.4,1.9,17.1
Luguentz Dort,75,28.9,.421,.811,1.9,3.8,1.6,0.9,0.5,1.0,11.7
Wendell Carter Jr.,68,26.9,.525,.701,1.2,7.7,2.0,0.6,0.5,1.4,12.3
Bojan Bogdanovic,70,30.2,.462,.829,2.6,3.4,2.0,0.6,0.1,2.0,18.2
Santi Aldama,69,24.6,.441,.654,1.5,5.4,1.9,0.6,0.8,1.0,9.9
Keyonte George,72,28.6,.417,.861,2.1,3.0,4.7,0.5,0.1,2.7,14.4
Andre Drummond,76,19.5,.564,.579,0.0,10.1,0.7,1.1,0.7,1.3,9.3
Andrew Wiggins,71,28.2,.457,.719,1.5,4.6,1.8,0.7,0.6,1.3,14.1
Isaiah Stewart,67,29.6,.481,.746,1.3,7.2,1.5,0.4,0.8,1.4,10.6
Norman Powell,73,29.2,.484,.825,2.4,2.9,1.3,0.7,0.3,1.1,16.0
Jalen Smith,71,21.5,.557,.718,1.1,6.9,1.2,0.4,0.8,1.0,11.8
Cole Anthony,75,23.8,.433,.838,1.2,4.1,3.3,0.8,0.4,1.6,12.2
Robert Williams III,63,20.6,.740,.667,0.0,7.0,1.3,0.6,1.3,0.8,6.9
Kyle Anderson,76,23.5,.469,.708,0.3,4.0,4.2,1.0,0.7,1.2,7.1
Jaden McDaniels,73,30.3,.493,.726,1.3,3.5,1.5,0.9,0.7,1.3,11.1
Kevin Huerter,70,25.3,.453,.762,2.0,3.4,2.6,0.8,0.3,0.9,11.1
Spencer Dinwiddie,76,26.5,.408,.803,1.6,2.7,4.6,0.6,0.3,1.2,10.9
Zaccharie Risacher,70,29.6,.442,.820,0.4,4.9,2.3,0.9,0.7,1.8,12.5
Ron Holland II,70,24.9,.449,.758,0.2,5.7,1.6,0.9,0.9,1.1,9.5
Nick Richards,70,25.5,.679,.740,0.0,7.9,0.8,0.4,1.1,1.1,9.7
Steven Adams,72,22.7,.552,.518,0.0,8.8,2.8,0.7,0.7,1.3,6.2
Corey Kispert,79,27.5,.485,.734,2.4,3.0,2.0,0.5,0.2,1.2,13.9
Mitchell Robinson,52,21.4,.641,.447,0.0,7.3,0.6,0.9,1.2,0.7,5.5
Paul Reed,75,18.1,.546,.720,0.2,5.6,1.2,0.8,1.0,0.8,6.8
Andrew Nembhard,70,27.8,.492,.810,1.0,2.4,4.6,1.0,0.1,1.7,10.2
Tre Jones,76,23.8,.501,.858,0.7,3.2,5.3,0.9,0.1,1.3,8.7
T.J. McConnell,70,18.7,.554,.810,0.3,2.8,5.5,1.0,0.1,1.6,10.0
Terance Mann,77,31.3,.511,.809,1.2,4.5,2.3,0.7,0.3,0.9,11.3
Rui Hachimura,70,27.1,.529,.736,1.4,4.5,1.2,0.6,0.4,0.7,13.6
Bruce Brown,71,26.7,.480,.817,0.8,4.1,2.8,0.9,0.3,1.2,10.4
Harrison Barnes,81,30.7,.473,.825,1.8,3.8,1.5,0.7,0.1,0.9,13.6
Payton Pritchard,79,21.6,.465,.818,1.8,3.1,3.3,0.5,0.1,0.7,9.4
Obi Toppin,79,20.2,.556,.768,1.3,3.7,1.5,0.5,0.5,0.8,9.8
Rob Dillingham,70,16.8,.422,.745,1.0,1.9,2.7,0.7,0.1,1.6,9.0
