Name,gp,min,fgp,ftp,3pm,reb,ass,stl,bl,TOs,ppg,ftm,fta,fgm,fga
Victor Wembanyama,70,33.4,.491,.820,2.1,12.0,4.4,1.8,4.3,4.1,25.4,4.02,4.91,9.64,19.63
Luka Doncic,72,37.0,.486,.772,3.7,9.1,9.3,1.4,0.5,4.0,33.1,4.87,6.31,12.26,25.24
Nikola Jokic,77,35.1,.590,.817,1.0,12.7,9.2,1.4,0.8,3.3,26.7,3.79,4.64,10.95,18.57
Shai Gilgeous-Alexander,74,34.8,.532,.875,1.4,5.6,6.8,2.0,0.9,2.3,32.0,5.22,5.96,12.69,23.85
Tyrese Haliburton,70,34.8,.479,.857,3.0,4.2,11.5,1.4,0.7,2.5,21.4,3.36,3.92,7.52,15.7
Joel Embiid,60,34.4,.530,.866,1.3,11.0,5.1,1.1,1.7,3.7,34.1,5.56,6.42,13.62,25.7
Anthony Davis,64,35.9,.556,.808,0.4,12.7,3.4,1.2,2.3,2.1,25.2,3.81,4.72,10.49,18.87
Donovan Mitchell,70,36.1,.466,.867,3.5,4.9,5.7,1.7,0.5,2.9,27.5,4.53,5.22,9.74,20.89
Jayson Tatum,76,36.0,.468,.840,3.1,8.2,4.8,1.0,0.6,2.6,27.5,4.47,5.32,9.96,21.29
Anthony Edwards,78,36.8,.459,.818,2.8,5.7,5.1,1.4,0.6,3.2,28.6,4.7,5.75,10.55,22.98
Trae Young,70,36.2,.434,.870,3.0,3.0,10.7,1.3,0.2,4.3,26.7,4.75,5.46,9.48,21.83
Chet Holmgren,72,31.1,.529,.794,1.7,8.4,2.6,0.7,2.4,1.7,17.5,2.5,3.14,6.65,12.57
Giannis Antetokounmpo,70,35.4,.595,.660,0.6,11.9,6.5,1.1,1.1,3.6,31.3,3.74,5.66,13.48,22.66
LaMelo Ball,66,34.3,.428,.868,3.3,6.5,8.2,1.7,0.3,3.6,22.7,3.92,4.52,7.74,18.08
Scottie Barnes,70,36.3,.473,.777,1.6,8.3,6.0,1.3,1.4,2.7,19.7,3.08,3.97,7.51,15.87
Domantas Sabonis,80,36.1,.595,.714,0.4,13.6,8.0,0.9,0.6,3.3,19.6,2.5,3.51,8.35,14.03
Stephen Curry,72,32.4,.456,.921,4.7,4.7,5.3,0.8,0.4,2.9,26.2,4.33,4.71,8.58,18.82
Karl-Anthony Towns,70,34.9,.506,.865,2.3,10.7,3.5,0.8,1.2,3.1,23.4,3.71,4.29,8.69,17.18
James Harden,72,34.7,.431,.877,2.6,5.3,8.9,1.1,0.7,2.7,17.4,3.0,3.42,5.9,13.69
LeBron James,65,35.2,.533,.752,2.1,7.4,8.0,1.2,0.6,3.4,26.0,3.58,4.76,10.16,19.06
